year,gmst_obs,OHC,erf_wm2
1928,-0.20646581,-16.417829662105433,0.525996
1929,-0.39244303,-12.781342988893218,0.420192
1930,-0.17680542,-10.649614931927031,0.527201
1931,-0.103397675,-7.618926290912145,0.557796
1932,-0.14546171,-3.558192141733601,0.459704
1933,-0.32234442,0.4062021342436754,0.504104
1934,-0.17433685,3.3004266110179454,0.604717
1935,-0.20605923,8.50315116364292,0.642291
1936,-0.16952094,17.013072832970373,0.736487
1937,-0.019198947,27.108259101588256,0.743604
1938,-0.012200737,36.87576135701447,0.68585
1939,-0.040797204,46.60346696957214,0.713933
1940,0.07593582,56.30330642812895,0.730408
1941,0.0381293,63.8208703985174,0.757707
1942,0.0014060677,73.98441993228029,0.682288
1943,0.0064215823,88.7557692060153,0.65869
1944,0.14410514,100.64358964186407,0.709263
1945,0.043088354,103.1318446717151,0.753984
1946,-0.11881461,104.04808882282404,0.773711
1947,-0.09120561,102.2306992632138,0.800353
1948,-0.12466127,96.5905501345192,0.846691
1949,-0.14380223,93.81868460719303,0.794396
1950,-0.2266218,100.18270933341793,0.782215
1951,-0.06115396,109.81610610055382,0.77211
1952,0.015354548,117.20995436618037,0.741962
1953,0.07763075,120.51006791902515,0.736861
1954,-0.11675023,122.00327653254413,0.751612
1955,-0.19730994,122.9944743834143,0.823876
1956,-0.26316562,126.24881136920126,0.932519
1957,-0.035334915,131.59480475601404,1.01557
1958,-0.017632563,140.42923992621908,1.03221
1959,-0.048004813,150.17967296050003,1.01963
1960,-0.11545958,158.52137526706542,0.910281
1961,-0.019999769,161.74875459952122,0.716516
1962,-0.06404272,161.63114239586187,0.639706
1963,-0.036810614,157.36229294446343,-0.287776
1964,-0.30586153,154.19473927403752,-0.866976
1965,-0.20442048,151.71291469962458,-0.0103955
1966,-0.1488976,149.79063961306065,0.563172
1967,-0.117539294,151.95602411202773,0.820894
1968,-0.16864756,160.3409560290787,0.520634
1969,-0.03138624,163.93362471391927,0.438928
1970,-0.08506408,164.2304831687097,0.920401
1971,-0.20588905,167.4011471474007,1.15652
1972,-0.09379131,167.75743051345725,1.27026
1973,0.04995016,163.95593640021852,1.17888
1974,-0.17252657,163.09436818656653,1.07617
1975,-0.110754214,167.01637112036792,0.673288
1976,-0.2158369,171.7660747230585,1.15383
1977,0.1030885,178.51288898549373,1.44427
1978,0.0052559716,190.81593070976882,1.48635
1979,0.09085814,204.74814159920996,1.57472
1980,0.19607204,214.66764932866369,1.74161
1981,0.25001204,219.1864060717259,1.78629
1982,0.034268282,224.53118718623787,0.451695
1983,0.22380984,225.53424526943104,0.0926755
1984,0.04799352,225.5684301782237,1.22819
1985,0.049729742,228.64197001858756,1.63905
1986,0.09568698,236.7952904666412,1.65364
1987,0.2430264,242.9473020461742,1.80306
1988,0.2821517,251.254162444165,1.96404
1989,0.1792503,260.47032890927056,2.13374
1990,0.36058238,266.0027048062513,2.15855
1991,0.33889654,266.7587164566195,0.729138
1992,0.12489683,269.37594967412974,-0.663905
1993,0.16570719,272.6052721759772,1.18674
1994,0.23354979,277.3828555048679,1.87068
1995,0.37686613,286.7729135699059,2.1201
1996,0.27668938,302.22560448725,2.2146
1997,0.4223085,315.4956726750226,2.30688
1998,0.5773417,323.46171555604116,2.4676
1999,0.32448497,329.90076221813047,2.59145
2000,0.33108476,336.1377414472141,2.68375
2001,0.48928034,338.84988117766903,2.7075
2002,0.5434665,344.092032385626,2.71609
2003,0.54417014,354.30709427531247,2.57536
2004,0.46737072,364.0006940689453,2.6911
2005,0.6068625,370.3823233544282,2.57036
2006,0.5725527,373.43543030222156,2.67648
2007,0.5917013,375.2709043348027,2.76049
2008,0.46564984,378.14613077118025,2.82342
2009,0.5967816,381.1890010472318,2.85044
2010,0.6803714,384.1134741464113,2.95873
2011,0.53769773,390.21637144624657,3.04459
2012,0.57760704,396.9961725442877,3.12309
2013,0.6235753,403.95342254187074,
2014,0.67287165,412.30876176617863,
2015,0.8251144,422.18686565988475,
2016,0.9329271,430.930649375035,
2017,0.84517425,437.8842175950106,
2018,0.76265407,441.4402218503278,
2019,0.8910726,,
2020,0.9229205,,
2021,0.76190555,,
2022,0.8013053,,
2023,1.1003127,,
2024,1.1808001,,
2025,1.1902827,,
